team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
Bolton Wanderers,Wigan Athletic,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Burnley,Wolverhampton Wanderers,Fast,Little,Mixed,Organised,Risky,Lots,Lots,Organised,Medium,Double,Wide,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,lose
Chelsea,West Ham United,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,win
Hull City,Arsenal,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,lose
Stoke City,Aston Villa,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,draw
Tottenham Hotspur,Blackburn Rovers,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,win
Manchester United,Fulham,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,win
Sunderland,Manchester City,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,draw
Liverpool,Portsmouth,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Wigan Athletic,Aston Villa,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,lose
