season,away_team_api_id,home_team_api_id,H_overall_rating,A_overall_rating,H_potential,A_potential,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
2010/2011,8455,8659,788,919,849,967,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
2010/2011,8650,9825,868,844,957,909,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10260,10261,818,907,868,962,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,1
2010/2011,9825,8586,873,885,913,957,2,1,2,1,3,3,3,2,1,3,2,3,1,2,1,2,2,2,1,2,3,2,1
2010/2011,8658,8455,891,815,959,880,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,1,3,2,2
2010/2011,8668,10260,867,839,942,887,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2010/2011,8658,8650,815,818,897,888,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,3,2,2
2010/2011,8528,8472,820,790,887,861,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8659,8586,872,801,915,865,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10194,10252,843,799,909,862,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,1
2010/2011,9879,8602,782,835,851,891,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10261,8483,793,829,836,879,3,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8654,8455,898,806,963,879,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,1,2,2,2,2,3,2,2
2010/2011,9825,8559,823.5613065,887,874.9220714,959,2,1,3,2,2,3,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,2
2010/2011,8456,8655,823,869,895,947,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
2010/2011,8602,10194,810,769,871,850,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8559,9879,832,824.5299233,892,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2010/2011,9879,8472,812,828,876,887,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8559,8655,814,824.5299233,894,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2010/2011,10252,8659,823.5613065,859,874.9220714,919,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,10194,8483,792,796,836,857,3,1,1,2,2,1,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,1
2010/2011,8668,8528,796,858,867,905,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,1
2010/2011,8586,8455,902,884,969,925,2,1,2,1,2,2,3,1,2,3,2,2,1,2,1,3,3,3,2,1,3,2,2
2010/2011,10260,9825,868,893,954,951,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,3,1,2,3,2,2
2010/2011,10261,8650,837,829,908,879,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8654,8456,871,802,945,867,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,1,2,2,2,2,3,2,2
2010/2011,8602,8658,826,775,888,856,2,1,2,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8483,8586,857,780,910,844,2,1,2,1,3,3,3,2,1,3,2,3,1,1,2,2,1,2,2,2,3,2,1
