team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
16,1,1,1,2,2,1,3,2,2,3,3,2,1,1,3,1,3,3,3,1,1,3,2,1
18,19,2,1,2,2,1,2,3,1,3,3,2,2,1,2,2,1,2,3,2,3,3,2,2
1,5,1,1,3,1,3,3,3,1,1,3,2,2,1,1,2,2,2,3,2,2,2,3,2
3,4,2,1,1,2,2,2,2,2,2,2,3,1,1,1,2,1,2,3,2,3,2,2,2
12,33,1,1,2,2,1,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,1
25,28,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,3,3,2,3,3,2,3
30,26,1,1,2,2,2,2,3,2,2,2,3,1,1,1,2,2,2,3,2,3,2,2,2
31,6,1,1,3,2,3,2,3,2,1,2,1,1,1,1,2,2,2,3,2,3,2,2,3
32,10,2,1,1,2,2,2,3,2,3,2,2,2,1,2,1,1,2,2,1,1,3,2,3
13,18,1,1,1,2,2,2,3,2,3,3,2,2,1,2,2,1,2,3,1,3,3,2,1
19,2,2,1,2,2,1,2,3,2,3,3,2,2,1,2,2,1,2,3,1,1,2,1,2
17,16,2,1,2,2,1,2,2,2,3,3,2,1,1,2,2,1,3,2,2,3,3,2,2
4,1,1,1,1,2,1,2,3,2,3,2,2,1,1,3,1,3,3,3,1,1,3,2,3
5,13,2,1,1,2,2,2,3,2,2,2,3,1,1,1,2,2,2,3,2,3,3,2,1
10,25,2,1,2,1,1,2,2,1,1,3,2,1,1,1,2,2,2,3,2,3,2,2,2
18,31,2,1,2,2,1,2,3,1,3,3,2,1,1,3,2,3,2,3,2,1,2,1,2
28,32,2,1,2,2,1,3,3,2,3,3,2,2,1,1,2,2,2,3,2,3,2,2,3
33,19,2,1,1,2,2,2,2,2,2,2,3,2,1,2,2,1,2,3,2,3,3,2,1
2,12,2,1,2,2,1,2,3,1,1,2,1,1,1,2,2,1,2,3,2,3,2,2,2
6,3,1,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,1
16,30,1,1,2,2,1,3,2,2,3,3,2,1,1,2,2,2,2,3,2,2,2,3,2
26,17,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,2,2,3,3,2,2
1,6,1,1,3,1,3,3,3,1,1,3,2,1,1,1,2,2,2,3,2,3,2,2,2
12,18,1,1,2,2,1,2,3,2,3,2,2,2,1,2,2,1,2,3,1,3,3,2,1
13,33,1,1,1,2,2,2,3,2,3,3,2,2,1,1,2,2,2,2,2,2,2,3,2
17,4,2,1,2,2,1,2,2,2,3,3,2,1,1,1,2,1,2,3,2,3,2,2,1
19,5,2,1,2,2,1,2,3,2,3,3,2,2,1,1,2,2,2,3,2,2,2,3,3
30,28,1,1,2,2,2,2,3,2,2,2,3,2,1,2,2,1,3,3,2,3,3,2,1
31,10,1,1,3,2,3,2,3,2,1,2,1,2,1,2,1,1,2,2,1,1,3,2,3
32,26,2,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,1
3,16,2,1,1,2,2,2,2,2,2,2,3,1,1,2,2,1,3,2,2,3,3,2,1
25,2,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,3,1,1,2,1,2
2,6,2,1,2,2,1,2,3,1,1,2,1,1,1,1,2,2,2,3,2,3,2,2,1
